validation,result,column,pk,detail,source_value,target_value
data_validation,FAIL,Cohort ARR Size,index=1,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=1,Values do not match,"'19,600'",'19600.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=1,Values do not match,'$19.60K','19600.0'
data_validation,FAIL,Extn for Late Renewals,index=1,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=1,Values do not match,'$19.6K','19600.0'
data_validation,FAIL,Previous ARR,index=1,Values do not match,'$19.60K','19600.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=1,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=1,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=1,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=1,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=1,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=2,Values do not match,"'19,600'",'19600.0'
data_validation,FAIL,Cohort ARR Size,index=2,Values do not match,'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=2,Values do not match,"'19,600'",'19600.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=2,Values do not match,'$19.60K','19600.0'
data_validation,FAIL,Extn for Late Renewals,index=2,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=2,Values do not match,'$19.6K','19600.0'
data_validation,FAIL,Previous ARR,index=2,Values do not match,'$19.60K','19600.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=2,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=3,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=3,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Extn for Late Renewals,index=3,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=3,Values do not match,'$6.9K','6900.0'
data_validation,FAIL,Previous ARR,index=3,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=3,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=3,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=3,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=3,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=3,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=4,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=4,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=4,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Extn for Late Renewals,index=4,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=4,Values do not match,'$6.9K','6900.0'
data_validation,FAIL,Previous ARR,index=4,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=4,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=4,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=4,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=4,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=4,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=5,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=5,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=5,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Extn for Late Renewals,index=5,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=5,Values do not match,'$6.9K','6900.0'
data_validation,FAIL,Previous ARR,index=5,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=5,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=5,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=5,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=5,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=5,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=6,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=6,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=6,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Extn for Late Renewals,index=6,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=6,Values do not match,'$6.9K','6900.0'
data_validation,FAIL,Previous ARR,index=6,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=6,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=6,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=6,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=6,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=6,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=7,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=7,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=7,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Extn for Late Renewals,index=7,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=7,Values do not match,'$6.9K','6900.0'
data_validation,FAIL,Previous ARR,index=7,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=7,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=7,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=7,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=7,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=7,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=8,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=8,Values do not match,"'6,900'",'6900.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=8,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Extn for Late Renewals,index=8,Values do not match,'$0.00K','0'
data_validation,FAIL,Peak ARR,index=8,Values do not match,'$6.9K','6900.0'
data_validation,FAIL,Previous ARR,index=8,Values do not match,'$6.90K','6900.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=8,Values do not match,'$0.00K','0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Variance,index=8,Values do not match,'$0.00K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=8,Values do not match,'$0.00K','0.0'
data_validation,INFO,,,... and 26390 more mismatches (showing first 100),,
