validation,result,column,pk,detail,source_value,target_value
data_validation,FAIL,SKU,index=1,Values do not match,'IB-SUB-THREAT-ADV','IB-SUB-ATC-PL-500'
data_validation,FAIL,Sales Rep,index=1,Values do not match,'Raheel Marshall','Hesham Elsherif'
data_validation,FAIL,Service End Date,index=1,Values do not match,'31/01/2026','7/30/2019'
data_validation,FAIL,Service Start Date,index=1,Values do not match,'01/02/2025','7/31/2018'
data_validation,FAIL,Shipping Country,index=1,Values do not match,'Pakistan','United Arab Emirates'
data_validation,FAIL,Territory Id,index=1,Values do not match,'0MIR70000000oj5OAA','0MI8Y000000g6scWAA'
data_validation,FAIL,Territory Name,index=1,Values do not match,'QATAR / KUWAIT 1','UAE 3'
data_validation,FAIL,Variance,index=1,Values do not match,'$11.89K','0.0'
data_validation,FAIL,"Variance (Adjusted, w/ Late Renewals Extn)",index=1,Values do not match,'$11.89K','0.0'
data_validation,FAIL,Year of Cohort Date FY,index=1,Values do not match,'FY 2021','FY 2018'
data_validation,FAIL,Account ID,index=2,Values do not match,'0011M00002T3RmPQAV','0014600001RN8uSAAT'
data_validation,FAIL,Account Name,index=2,Values do not match,'1LINK (PRIVATE) LIMITED','ABU DHABI ACCOUNTABILITY AUTHORITY ADAA'
data_validation,FAIL,"BoP (Adjusted, w/ Late Renewals Extn)",index=2,Values do not match,"'11,890'",'14613.0'
data_validation,FAIL,Cohort ARR Size,index=2,Values do not match,'$10K or less','$10K - $25K'
data_validation,FAIL,Distributor Name,index=2,Values do not match,'STARLINK DMCC',"'NETWORK DISTRIBUTORS FZ LLC, dba Exclusive Networks UAE'"
data_validation,FAIL,End Customer,index=2,Values do not match,'1 LINK (PRIVATE) LIMITED',"'ABU DHABI ACCOUNTABILITY AUTHORITY, UAE'"
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",index=2,Values do not match,"'11,890'",'14613.0'
data_validation,FAIL,"EoP, Unadjusted  ",index=2,Values do not match,'$11.89K','14613.0'
data_validation,FAIL,Extn for Late Renewals,index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Industry,index=2,Values do not match,'Banking','Financial Services'
data_validation,FAIL,Industry [Custom],index=2,Values do not match,'Financial Services','Government'
data_validation,FAIL,Month of Revenue Date,index=2,Values do not match,'July 2025','April 2019'
data_validation,FAIL,Order Number,index=2,Values do not match,'REN-181740','11119307'
data_validation,FAIL,Peak ARR,index=2,Values do not match,'$13.3K','14613.0'
data_validation,FAIL,Previous ARR,index=2,Values do not match,'$11.89K','14613.0'
data_validation,FAIL,Previous Extn for Late Renewals,index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Previous Refresh Overlap Adj,index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Product Family,index=2,Values do not match,'BloxOne Threat Defense','ActiveTrust Cloud'
data_validation,FAIL,Product Name,index=2,Values do not match,'BloxOne Threat Defense Advanced','Infoblox ActiveTrust Cloud Plus annual subscription for up to 500 protected users'
data_validation,FAIL,Quantity,index=2,Values do not match,'500','1.0'
data_validation,FAIL,RCN Emp Count,index=2,Values do not match,'200','139'
data_validation,FAIL,Refresh Overlap Adj,index=2,Values do not match,'$0.00K','0.0'
data_validation,FAIL,Reseller Name,index=2,Values do not match,'SECURE NETWORKS PVT. LTD',nan
data_validation,FAIL,SKU,index=2,Values do not match,'IB-SUB-THREAT-ADV','IB-SUB-ATC-PL-500'
data_validation,FAIL,Sales Rep,index=2,Values do not match,'Raheel Marshall','Hesham Elsherif'
data_validation,FAIL,Service End Date,index=2,Values do not match,'31/01/2026','7/30/2019'
data_validation,FAIL,Service Start Date,index=2,Values do not match,'01/02/2025','7/31/2018'
data_validation,FAIL,Shipping Country,index=2,Values do not match,'Pakistan','United Arab Emirates'
data_validation,FAIL,Territory Id,index=2,Values do not match,'0MIR70000000oj5OAA','0MI8Y000000g6scWAA'
data_validation,FAIL,Territory Name,index=2,Values do not match,'QATAR / KUWAIT 1','UAE 3'
data_validation,INFO,,,... and 1201058 more mismatches (showing first 100),,
